#	Time_ps	4.5	5	5.5	6	6.5	7	7.5	8	8.5	9	9.5	10	10.5	11	11.5	12	12.5	13	13.5	14	14.5	15	15.5	16	16.5	17	17.5	18	18.5	19	19.5	20	20.5	21	21.5	22	22.5	23	23.5	24	24.5	25	25.5	26	26.5	27	27.5	28	28.5	29	29.5	30
350	0	0	0	0	4	4	7	9	14	16	21	24	26	28	30	34	37	45	49	54	57	62	63	66	71	79	82	84	85	85	86	86	86	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	
360	0	0	0	0	0	2	7	11	15	16	22	22	26	27	33	35	37	40	43	46	51	57	67	69	73	75	77	83	85	86	86	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	
370	0	0	0	1	2	3	6	12	17	18	22	23	23	28	33	34	39	41	46	51	56	61	67	69	71	77	80	84	86	86	86	86	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	
380	0	0	0	0	1	5	9	11	15	17	20	22	22	27	29	35	39	42	46	50	54	60	66	70	73	79	80	83	85	86	86	86	86	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	
390	0	0	0	0	4	7	9	13	15	17	21	21	24	26	29	33	37	42	46	49	54	62	67	70	77	77	83	87	87	88	89	89	89	89	89	89	89	89	89	89	89	89	89	89	89	89	89	89	89	89	89	89	
400	0	0	0	0	0	5	8	10	12	15	18	20	24	32	34	35	38	40	44	48	54	62	67	71	74	78	81	84	85	87	87	87	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	
410	0	0	0	0	1	4	7	8	14	16	19	22	25	28	32	37	40	43	45	49	53	58	62	69	76	78	82	84	86	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	
420	0	0	0	0	2	4	10	12	13	16	19	20	25	28	34	37	39	41	44	50	54	59	64	72	77	79	81	84	85	86	87	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	
430	0	0	0	0	2	7	7	10	15	18	19	21	27	29	34	38	42	46	50	52	53	56	60	67	73	78	81	84	87	87	87	87	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	
440	0	0	0	0	0	4	7	11	14	16	20	23	25	28	30	35	39	42	47	51	54	60	63	66	70	76	82	83	86	86	86	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	
450	0	0	0	0	1	2	8	9	14	15	22	25	27	28	31	33	34	43	50	52	55	58	65	70	73	76	80	85	86	86	86	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	
460	0	0	0	0	1	3	8	11	14	18	25	27	27	28	33	35	36	40	47	51	57	60	66	67	71	75	81	84	85	85	85	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	
470	0	0	0	0	1	3	6	12	16	19	22	25	29	30	31	34	38	42	47	51	56	60	64	67	73	77	82	82	85	86	86	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	
480	0	0	0	0	1	4	8	11	13	16	19	21	26	29	32	36	38	42	47	49	53	61	63	67	77	82	84	85	86	86	86	86	86	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	
490	0	0	0	0	2	6	7	12	14	18	22	22	25	27	29	29	36	38	43	50	52	58	65	72	75	80	85	85	86	86	86	86	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	
500	0	0	0	0	0	3	8	11	15	17	20	24	27	28	28	31	35	39	50	52	55	61	68	73	77	81	83	84	85	85	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	
510	0	0	0	0	0	4	7	12	15	18	20	22	24	25	28	33	37	41	46	51	54	59	65	72	77	82	84	86	86	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	
520	0	0	0	0	2	3	8	10	15	15	18	22	24	26	31	34	37	39	43	46	57	60	63	73	77	80	86	86	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	
530	0	0	0	0	2	5	8	14	15	16	18	23	25	27	29	33	37	41	44	49	53	60	64	72	76	81	85	85	85	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	
540	0	0	0	1	2	3	7	8	13	16	18	21	22	30	32	32	37	42	43	47	52	60	68	74	76	79	81	84	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	
550	0	0	0	1	1	2	6	9	13	16	17	19	22	24	25	32	37	40	43	50	55	59	68	76	77	80	83	83	87	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	
560	0	0	0	0	2	4	7	10	14	17	20	21	24	26	29	35	38	41	44	52	56	64	68	75	79	83	83	84	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	
570	0	0	0	1	1	2	7	9	13	15	17	22	23	26	28	35	38	41	44	49	52	61	66	72	79	80	81	84	85	86	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	
580	0	0	0	0	2	4	8	11	14	14	20	23	23	25	29	33	36	38	47	52	61	62	68	75	77	79	82	82	86	86	86	87	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	
590	0	0	0	0	0	4	7	8	13	16	19	21	24	27	30	32	35	40	46	48	55	66	67	72	76	81	82	84	85	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	
600	0	0	0	1	1	5	6	8	11	16	21	21	23	24	28	34	38	39	41	47	56	61	66	74	79	80	83	85	86	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	
610	0	0	0	1	2	2	5	12	16	18	19	22	24	25	28	32	36	40	42	48	56	60	69	75	80	82	82	83	85	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	
620	0	0	0	0	2	2	6	11	12	15	20	21	24	27	29	31	38	43	48	54	58	64	73	78	81	83	84	84	86	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	
630	0	0	0	0	1	4	7	10	15	15	19	23	26	27	28	33	36	38	42	48	55	62	66	74	79	82	84	85	86	86	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	
640	0	0	0	0	2	5	11	12	14	18	19	23	23	25	26	31	35	40	43	46	54	58	66	71	77	83	85	85	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	
650	0	0	0	0	2	4	6	12	12	17	20	23	25	27	27	30	34	38	41	46	53	58	64	69	76	82	83	85	85	85	85	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	
660	0	0	0	0	3	4	7	11	15	20	22	24	25	27	28	32	33	38	43	50	55	55	63	75	81	83	86	87	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	
670	0	0	0	0	1	6	6	11	16	22	23	24	25	26	29	32	34	39	42	45	49	55	59	70	80	83	84	84	86	86	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	
680	0	0	0	0	2	5	8	13	17	22	24	26	26	27	29	32	37	42	44	47	48	54	61	69	75	77	83	85	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	
690	0	0	0	0	1	3	7	10	17	19	22	25	26	29	31	33	35	38	41	43	48	53	62	72	77	80	82	85	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	
700	0	0	0	0	2	6	8	11	16	19	23	24	28	29	31	35	37	40	46	48	50	57	63	68	73	80	83	85	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	
710	0	0	0	0	1	5	13	14	16	19	23	23	25	26	32	36	41	43	45	49	53	56	62	65	72	75	80	82	84	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	
